image,source,type_degradation,niveau
degraded\clothing\048_underexposure_low.jpg,originals\clothing\CLO_048.jpg,underexposure,low
degraded\clothing\048_underexposure_medium.jpg,originals\clothing\CLO_048.jpg,underexposure,medium
degraded\clothing\048_underexposure_high.jpg,originals\clothing\CLO_048.jpg,underexposure,high
degraded\clothing\048_overexposure_low.jpg,originals\clothing\CLO_048.jpg,overexposure,low
degraded\clothing\048_overexposure_medium.jpg,originals\clothing\CLO_048.jpg,overexposure,medium
degraded\clothing\048_overexposure_high.jpg,originals\clothing\CLO_048.jpg,overexposure,high
degraded\clothing\048_bad_crop_low.jpg,originals\clothing\CLO_048.jpg,bad_crop,low
degraded\clothing\048_bad_crop_medium.jpg,originals\clothing\CLO_048.jpg,bad_crop,medium
degraded\clothing\048_bad_crop_high.jpg,originals\clothing\CLO_048.jpg,bad_crop,high
degraded\clothing\048_lowres_low.jpg,originals\clothing\CLO_048.jpg,lowres,low
degraded\clothing\048_lowres_medium.jpg,originals\clothing\CLO_048.jpg,lowres,medium
degraded\clothing\048_lowres_high.jpg,originals\clothing\CLO_048.jpg,lowres,high
degraded\clothing\048_jpeg_low.jpg,originals\clothing\CLO_048.jpg,jpeg,low
degraded\clothing\048_jpeg_medium.jpg,originals\clothing\CLO_048.jpg,jpeg,medium
degraded\clothing\048_jpeg_high.jpg,originals\clothing\CLO_048.jpg,jpeg,high
degraded\clothing\049_blur_low.jpg,originals\clothing\CLO_049.jpg,blur,low
degraded\clothing\049_blur_medium.jpg,originals\clothing\CLO_049.jpg,blur,medium
degraded\clothing\049_blur_high.jpg,originals\clothing\CLO_049.jpg,blur,high
degraded\clothing\049_underexposure_low.jpg,originals\clothing\CLO_049.jpg,underexposure,low
degraded\clothing\049_underexposure_medium.jpg,originals\clothing\CLO_049.jpg,underexposure,medium
degraded\clothing\049_underexposure_high.jpg,originals\clothing\CLO_049.jpg,underexposure,high
degraded\clothing\049_overexposure_low.jpg,originals\clothing\CLO_049.jpg,overexposure,low
degraded\clothing\049_overexposure_medium.jpg,originals\clothing\CLO_049.jpg,overexposure,medium
degraded\clothing\049_overexposure_high.jpg,originals\clothing\CLO_049.jpg,overexposure,high
degraded\clothing\049_bad_crop_low.jpg,originals\clothing\CLO_049.jpg,bad_crop,low
degraded\clothing\049_bad_crop_medium.jpg,originals\clothing\CLO_049.jpg,bad_crop,medium
degraded\clothing\049_bad_crop_high.jpg,originals\clothing\CLO_049.jpg,bad_crop,high
degraded\clothing\049_lowres_low.jpg,originals\clothing\CLO_049.jpg,lowres,low
degraded\clothing\049_lowres_medium.jpg,originals\clothing\CLO_049.jpg,lowres,medium
degraded\clothing\049_lowres_high.jpg,originals\clothing\CLO_049.jpg,lowres,high
degraded\clothing\049_jpeg_low.jpg,originals\clothing\CLO_049.jpg,jpeg,low
degraded\clothing\049_jpeg_medium.jpg,originals\clothing\CLO_049.jpg,jpeg,medium
degraded\clothing\049_jpeg_high.jpg,originals\clothing\CLO_049.jpg,jpeg,high
degraded\clothing\050_blur_low.jpg,originals\clothing\CLO_050.jpg,blur,low
degraded\clothing\050_blur_medium.jpg,originals\clothing\CLO_050.jpg,blur,medium
degraded\clothing\050_blur_high.jpg,originals\clothing\CLO_050.jpg,blur,high
degraded\clothing\050_underexposure_low.jpg,originals\clothing\CLO_050.jpg,underexposure,low
degraded\clothing\050_underexposure_medium.jpg,originals\clothing\CLO_050.jpg,underexposure,medium
degraded\clothing\050_underexposure_high.jpg,originals\clothing\CLO_050.jpg,underexposure,high
degraded\clothing\050_overexposure_low.jpg,originals\clothing\CLO_050.jpg,overexposure,low
degraded\clothing\050_overexposure_medium.jpg,originals\clothing\CLO_050.jpg,overexposure,medium
degraded\clothing\050_overexposure_high.jpg,originals\clothing\CLO_050.jpg,overexposure,high
degraded\clothing\050_bad_crop_low.jpg,originals\clothing\CLO_050.jpg,bad_crop,low
degraded\clothing\050_bad_crop_medium.jpg,originals\clothing\CLO_050.jpg,bad_crop,medium
degraded\clothing\050_bad_crop_high.jpg,originals\clothing\CLO_050.jpg,bad_crop,high
degraded\clothing\050_lowres_low.jpg,originals\clothing\CLO_050.jpg,lowres,low
degraded\clothing\050_lowres_medium.jpg,originals\clothing\CLO_050.jpg,lowres,medium
degraded\clothing\050_lowres_high.jpg,originals\clothing\CLO_050.jpg,lowres,high
degraded\clothing\050_jpeg_low.jpg,originals\clothing\CLO_050.jpg,jpeg,low
degraded\clothing\050_jpeg_medium.jpg,originals\clothing\CLO_050.jpg,jpeg,medium
degraded\clothing\050_jpeg_high.jpg,originals\clothing\CLO_050.jpg,jpeg,high
degraded\clothing\051_blur_low.jpg,originals\clothing\CLO_051.jpg,blur,low
degraded\clothing\051_blur_medium.jpg,originals\clothing\CLO_051.jpg,blur,medium
degraded\clothing\051_blur_high.jpg,originals\clothing\CLO_051.jpg,blur,high
degraded\clothing\051_underexposure_low.jpg,originals\clothing\CLO_051.jpg,underexposure,low
degraded\clothing\051_underexposure_medium.jpg,originals\clothing\CLO_051.jpg,underexposure,medium
degraded\clothing\051_underexposure_high.jpg,originals\clothing\CLO_051.jpg,underexposure,high
degraded\clothing\051_overexposure_low.jpg,originals\clothing\CLO_051.jpg,overexposure,low
degraded\clothing\051_overexposure_medium.jpg,originals\clothing\CLO_051.jpg,overexposure,medium
degraded\clothing\051_overexposure_high.jpg,originals\clothing\CLO_051.jpg,overexposure,high
degraded\clothing\051_bad_crop_low.jpg,originals\clothing\CLO_051.jpg,bad_crop,low
degraded\clothing\051_bad_crop_medium.jpg,originals\clothing\CLO_051.jpg,bad_crop,medium
degraded\clothing\051_bad_crop_high.jpg,originals\clothing\CLO_051.jpg,bad_crop,high
degraded\clothing\051_lowres_low.jpg,originals\clothing\CLO_051.jpg,lowres,low
degraded\clothing\051_lowres_medium.jpg,originals\clothing\CLO_051.jpg,lowres,medium
degraded\clothing\051_lowres_high.jpg,originals\clothing\CLO_051.jpg,lowres,high
degraded\clothing\051_jpeg_low.jpg,originals\clothing\CLO_051.jpg,jpeg,low
degraded\clothing\051_jpeg_medium.jpg,originals\clothing\CLO_051.jpg,jpeg,medium
degraded\clothing\051_jpeg_high.jpg,originals\clothing\CLO_051.jpg,jpeg,high
degraded\clothing\052_blur_low.jpg,originals\clothing\CLO_052.jpg,blur,low
degraded\clothing\052_blur_medium.jpg,originals\clothing\CLO_052.jpg,blur,medium
degraded\clothing\052_blur_high.jpg,originals\clothing\CLO_052.jpg,blur,high
degraded\clothing\052_underexposure_low.jpg,originals\clothing\CLO_052.jpg,underexposure,low
degraded\clothing\052_underexposure_medium.jpg,originals\clothing\CLO_052.jpg,underexposure,medium
degraded\clothing\052_underexposure_high.jpg,originals\clothing\CLO_052.jpg,underexposure,high
degraded\clothing\052_overexposure_low.jpg,originals\clothing\CLO_052.jpg,overexposure,low
degraded\clothing\052_overexposure_medium.jpg,originals\clothing\CLO_052.jpg,overexposure,medium
degraded\clothing\052_overexposure_high.jpg,originals\clothing\CLO_052.jpg,overexposure,high
degraded\clothing\052_bad_crop_low.jpg,originals\clothing\CLO_052.jpg,bad_crop,low
degraded\clothing\052_bad_crop_medium.jpg,originals\clothing\CLO_052.jpg,bad_crop,medium
degraded\clothing\052_bad_crop_high.jpg,originals\clothing\CLO_052.jpg,bad_crop,high
degraded\clothing\052_lowres_low.jpg,originals\clothing\CLO_052.jpg,lowres,low
degraded\clothing\052_lowres_medium.jpg,originals\clothing\CLO_052.jpg,lowres,medium
degraded\clothing\052_lowres_high.jpg,originals\clothing\CLO_052.jpg,lowres,high
degraded\clothing\052_jpeg_low.jpg,originals\clothing\CLO_052.jpg,jpeg,low
degraded\clothing\052_jpeg_medium.jpg,originals\clothing\CLO_052.jpg,jpeg,medium
degraded\clothing\052_jpeg_high.jpg,originals\clothing\CLO_052.jpg,jpeg,high
degraded\clothing\053_blur_low.jpg,originals\clothing\CLO_053.jpg,blur,low
degraded\clothing\053_blur_medium.jpg,originals\clothing\CLO_053.jpg,blur,medium
degraded\clothing\053_blur_high.jpg,originals\clothing\CLO_053.jpg,blur,high
degraded\clothing\053_underexposure_low.jpg,originals\clothing\CLO_053.jpg,underexposure,low
degraded\clothing\053_underexposure_medium.jpg,originals\clothing\CLO_053.jpg,underexposure,medium
degraded\clothing\053_underexposure_high.jpg,originals\clothing\CLO_053.jpg,underexposure,high
degraded\clothing\053_overexposure_low.jpg,originals\clothing\CLO_053.jpg,overexposure,low
degraded\clothing\053_overexposure_medium.jpg,originals\clothing\CLO_053.jpg,overexposure,medium
degraded\clothing\053_overexposure_high.jpg,originals\clothing\CLO_053.jpg,overexposure,high
degraded\clothing\053_bad_crop_low.jpg,originals\clothing\CLO_053.jpg,bad_crop,low
degraded\clothing\053_bad_crop_medium.jpg,originals\clothing\CLO_053.jpg,bad_crop,medium
degraded\clothing\053_bad_crop_high.jpg,originals\clothing\CLO_053.jpg,bad_crop,high
degraded\clothing\053_lowres_low.jpg,originals\clothing\CLO_053.jpg,lowres,low
degraded\clothing\053_lowres_medium.jpg,originals\clothing\CLO_053.jpg,lowres,medium
degraded\clothing\053_lowres_high.jpg,originals\clothing\CLO_053.jpg,lowres,high
degraded\clothing\053_jpeg_low.jpg,originals\clothing\CLO_053.jpg,jpeg,low
degraded\clothing\053_jpeg_medium.jpg,originals\clothing\CLO_053.jpg,jpeg,medium
degraded\clothing\053_jpeg_high.jpg,originals\clothing\CLO_053.jpg,jpeg,high
degraded\clothing\054_blur_low.jpg,originals\clothing\CLO_054.jpg,blur,low
degraded\clothing\054_blur_medium.jpg,originals\clothing\CLO_054.jpg,blur,medium
degraded\clothing\054_blur_high.jpg,originals\clothing\CLO_054.jpg,blur,high
degraded\clothing\054_underexposure_low.jpg,originals\clothing\CLO_054.jpg,underexposure,low
degraded\clothing\054_underexposure_medium.jpg,originals\clothing\CLO_054.jpg,underexposure,medium
degraded\clothing\054_underexposure_high.jpg,originals\clothing\CLO_054.jpg,underexposure,high
degraded\clothing\054_overexposure_low.jpg,originals\clothing\CLO_054.jpg,overexposure,low
degraded\clothing\054_overexposure_medium.jpg,originals\clothing\CLO_054.jpg,overexposure,medium
degraded\clothing\054_overexposure_high.jpg,originals\clothing\CLO_054.jpg,overexposure,high
degraded\clothing\054_bad_crop_low.jpg,originals\clothing\CLO_054.jpg,bad_crop,low
degraded\clothing\054_bad_crop_medium.jpg,originals\clothing\CLO_054.jpg,bad_crop,medium
degraded\clothing\054_bad_crop_high.jpg,originals\clothing\CLO_054.jpg,bad_crop,high
degraded\clothing\054_lowres_low.jpg,originals\clothing\CLO_054.jpg,lowres,low
degraded\clothing\054_lowres_medium.jpg,originals\clothing\CLO_054.jpg,lowres,medium
degraded\clothing\054_lowres_high.jpg,originals\clothing\CLO_054.jpg,lowres,high
degraded\clothing\054_jpeg_low.jpg,originals\clothing\CLO_054.jpg,jpeg,low
degraded\clothing\054_jpeg_medium.jpg,originals\clothing\CLO_054.jpg,jpeg,medium
degraded\clothing\054_jpeg_high.jpg,originals\clothing\CLO_054.jpg,jpeg,high
degraded\clothing\055_blur_low.jpg,originals\clothing\CLO_055.jpg,blur,low
degraded\clothing\055_blur_medium.jpg,originals\clothing\CLO_055.jpg,blur,medium
degraded\clothing\055_blur_high.jpg,originals\clothing\CLO_055.jpg,blur,high
degraded\clothing\055_underexposure_low.jpg,originals\clothing\CLO_055.jpg,underexposure,low
degraded\clothing\055_underexposure_medium.jpg,originals\clothing\CLO_055.jpg,underexposure,medium
degraded\clothing\055_underexposure_high.jpg,originals\clothing\CLO_055.jpg,underexposure,high
degraded\clothing\055_overexposure_low.jpg,originals\clothing\CLO_055.jpg,overexposure,low
degraded\clothing\055_overexposure_medium.jpg,originals\clothing\CLO_055.jpg,overexposure,medium
degraded\clothing\055_overexposure_high.jpg,originals\clothing\CLO_055.jpg,overexposure,high
degraded\clothing\055_bad_crop_low.jpg,originals\clothing\CLO_055.jpg,bad_crop,low
degraded\clothing\055_bad_crop_medium.jpg,originals\clothing\CLO_055.jpg,bad_crop,medium
degraded\clothing\055_bad_crop_high.jpg,originals\clothing\CLO_055.jpg,bad_crop,high
degraded\clothing\055_lowres_low.jpg,originals\clothing\CLO_055.jpg,lowres,low
degraded\clothing\055_lowres_medium.jpg,originals\clothing\CLO_055.jpg,lowres,medium
degraded\clothing\055_lowres_high.jpg,originals\clothing\CLO_055.jpg,lowres,high
degraded\clothing\055_jpeg_low.jpg,originals\clothing\CLO_055.jpg,jpeg,low
degraded\clothing\055_jpeg_medium.jpg,originals\clothing\CLO_055.jpg,jpeg,medium
degraded\clothing\055_jpeg_high.jpg,originals\clothing\CLO_055.jpg,jpeg,high
degraded\clothing\056_blur_low.jpg,originals\clothing\CLO_056.jpg,blur,low
degraded\clothing\056_blur_medium.jpg,originals\clothing\CLO_056.jpg,blur,medium
degraded\clothing\056_blur_high.jpg,originals\clothing\CLO_056.jpg,blur,high
degraded\clothing\056_underexposure_low.jpg,originals\clothing\CLO_056.jpg,underexposure,low
degraded\clothing\056_underexposure_medium.jpg,originals\clothing\CLO_056.jpg,underexposure,medium
degraded\clothing\056_underexposure_high.jpg,originals\clothing\CLO_056.jpg,underexposure,high
degraded\clothing\056_overexposure_low.jpg,originals\clothing\CLO_056.jpg,overexposure,low
degraded\clothing\056_overexposure_medium.jpg,originals\clothing\CLO_056.jpg,overexposure,medium
degraded\clothing\056_overexposure_high.jpg,originals\clothing\CLO_056.jpg,overexposure,high
degraded\clothing\056_bad_crop_low.jpg,originals\clothing\CLO_056.jpg,bad_crop,low
degraded\clothing\056_bad_crop_medium.jpg,originals\clothing\CLO_056.jpg,bad_crop,medium
degraded\clothing\056_bad_crop_high.jpg,originals\clothing\CLO_056.jpg,bad_crop,high
degraded\clothing\056_lowres_low.jpg,originals\clothing\CLO_056.jpg,lowres,low
degraded\clothing\056_lowres_medium.jpg,originals\clothing\CLO_056.jpg,lowres,medium
degraded\clothing\056_lowres_high.jpg,originals\clothing\CLO_056.jpg,lowres,high
degraded\clothing\056_jpeg_low.jpg,originals\clothing\CLO_056.jpg,jpeg,low
degraded\clothing\056_jpeg_medium.jpg,originals\clothing\CLO_056.jpg,jpeg,medium
degraded\clothing\056_jpeg_high.jpg,originals\clothing\CLO_056.jpg,jpeg,high
degraded\clothing\057_blur_low.jpg,originals\clothing\CLO_057.jpg,blur,low
degraded\clothing\057_blur_medium.jpg,originals\clothing\CLO_057.jpg,blur,medium
degraded\clothing\057_blur_high.jpg,originals\clothing\CLO_057.jpg,blur,high
degraded\clothing\057_underexposure_low.jpg,originals\clothing\CLO_057.jpg,underexposure,low
degraded\clothing\057_underexposure_medium.jpg,originals\clothing\CLO_057.jpg,underexposure,medium
degraded\clothing\057_underexposure_high.jpg,originals\clothing\CLO_057.jpg,underexposure,high
degraded\clothing\057_overexposure_low.jpg,originals\clothing\CLO_057.jpg,overexposure,low
degraded\clothing\057_overexposure_medium.jpg,originals\clothing\CLO_057.jpg,overexposure,medium
degraded\clothing\057_overexposure_high.jpg,originals\clothing\CLO_057.jpg,overexposure,high
degraded\clothing\057_bad_crop_low.jpg,originals\clothing\CLO_057.jpg,bad_crop,low
degraded\clothing\057_bad_crop_medium.jpg,originals\clothing\CLO_057.jpg,bad_crop,medium
degraded\clothing\057_bad_crop_high.jpg,originals\clothing\CLO_057.jpg,bad_crop,high
degraded\clothing\057_lowres_low.jpg,originals\clothing\CLO_057.jpg,lowres,low
degraded\clothing\057_lowres_medium.jpg,originals\clothing\CLO_057.jpg,lowres,medium
degraded\clothing\057_lowres_high.jpg,originals\clothing\CLO_057.jpg,lowres,high
degraded\clothing\057_jpeg_low.jpg,originals\clothing\CLO_057.jpg,jpeg,low
degraded\clothing\057_jpeg_medium.jpg,originals\clothing\CLO_057.jpg,jpeg,medium
degraded\clothing\057_jpeg_high.jpg,originals\clothing\CLO_057.jpg,jpeg,high
degraded\clothing\058_blur_low.jpg,originals\clothing\CLO_058.jpg,blur,low
degraded\clothing\058_blur_medium.jpg,originals\clothing\CLO_058.jpg,blur,medium
degraded\clothing\058_blur_high.jpg,originals\clothing\CLO_058.jpg,blur,high
degraded\clothing\058_underexposure_low.jpg,originals\clothing\CLO_058.jpg,underexposure,low
degraded\clothing\058_underexposure_medium.jpg,originals\clothing\CLO_058.jpg,underexposure,medium
degraded\clothing\058_underexposure_high.jpg,originals\clothing\CLO_058.jpg,underexposure,high
degraded\clothing\058_overexposure_low.jpg,originals\clothing\CLO_058.jpg,overexposure,low
degraded\clothing\058_overexposure_medium.jpg,originals\clothing\CLO_058.jpg,overexposure,medium
degraded\clothing\058_overexposure_high.jpg,originals\clothing\CLO_058.jpg,overexposure,high
degraded\clothing\058_bad_crop_low.jpg,originals\clothing\CLO_058.jpg,bad_crop,low
degraded\clothing\058_bad_crop_medium.jpg,originals\clothing\CLO_058.jpg,bad_crop,medium
degraded\clothing\058_bad_crop_high.jpg,originals\clothing\CLO_058.jpg,bad_crop,high
degraded\clothing\058_lowres_low.jpg,originals\clothing\CLO_058.jpg,lowres,low
degraded\clothing\058_lowres_medium.jpg,originals\clothing\CLO_058.jpg,lowres,medium
degraded\clothing\058_lowres_high.jpg,originals\clothing\CLO_058.jpg,lowres,high
degraded\clothing\058_jpeg_low.jpg,originals\clothing\CLO_058.jpg,jpeg,low
degraded\clothing\058_jpeg_medium.jpg,originals\clothing\CLO_058.jpg,jpeg,medium
degraded\clothing\058_jpeg_high.jpg,originals\clothing\CLO_058.jpg,jpeg,high
degraded\clothing\059_blur_low.jpg,originals\clothing\CLO_059.jpg,blur,low
degraded\clothing\059_blur_medium.jpg,originals\clothing\CLO_059.jpg,blur,medium
degraded\clothing\059_blur_high.jpg,originals\clothing\CLO_059.jpg,blur,high
degraded\clothing\059_underexposure_low.jpg,originals\clothing\CLO_059.jpg,underexposure,low
degraded\clothing\059_underexposure_medium.jpg,originals\clothing\CLO_059.jpg,underexposure,medium
degraded\clothing\059_underexposure_high.jpg,originals\clothing\CLO_059.jpg,underexposure,high
degraded\clothing\059_overexposure_low.jpg,originals\clothing\CLO_059.jpg,overexposure,low
degraded\clothing\059_overexposure_medium.jpg,originals\clothing\CLO_059.jpg,overexposure,medium
degraded\clothing\059_overexposure_high.jpg,originals\clothing\CLO_059.jpg,overexposure,high
degraded\clothing\059_bad_crop_low.jpg,originals\clothing\CLO_059.jpg,bad_crop,low
degraded\clothing\059_bad_crop_medium.jpg,originals\clothing\CLO_059.jpg,bad_crop,medium
degraded\clothing\059_bad_crop_high.jpg,originals\clothing\CLO_059.jpg,bad_crop,high
degraded\clothing\059_lowres_low.jpg,originals\clothing\CLO_059.jpg,lowres,low
degraded\clothing\059_lowres_medium.jpg,originals\clothing\CLO_059.jpg,lowres,medium
degraded\clothing\059_lowres_high.jpg,originals\clothing\CLO_059.jpg,lowres,high
degraded\clothing\059_jpeg_low.jpg,originals\clothing\CLO_059.jpg,jpeg,low
degraded\clothing\059_jpeg_medium.jpg,originals\clothing\CLO_059.jpg,jpeg,medium
degraded\clothing\059_jpeg_high.jpg,originals\clothing\CLO_059.jpg,jpeg,high
degraded\clothing\060_blur_low.jpg,originals\clothing\CLO_060.jpg,blur,low
degraded\clothing\060_blur_medium.jpg,originals\clothing\CLO_060.jpg,blur,medium
degraded\clothing\060_blur_high.jpg,originals\clothing\CLO_060.jpg,blur,high
degraded\clothing\060_underexposure_low.jpg,originals\clothing\CLO_060.jpg,underexposure,low
degraded\clothing\060_underexposure_medium.jpg,originals\clothing\CLO_060.jpg,underexposure,medium
degraded\clothing\060_underexposure_high.jpg,originals\clothing\CLO_060.jpg,underexposure,high
degraded\clothing\060_overexposure_low.jpg,originals\clothing\CLO_060.jpg,overexposure,low
degraded\clothing\060_overexposure_medium.jpg,originals\clothing\CLO_060.jpg,overexposure,medium
degraded\clothing\060_overexposure_high.jpg,originals\clothing\CLO_060.jpg,overexposure,high
degraded\clothing\060_bad_crop_low.jpg,originals\clothing\CLO_060.jpg,bad_crop,low
degraded\clothing\060_bad_crop_medium.jpg,originals\clothing\CLO_060.jpg,bad_crop,medium
degraded\clothing\060_bad_crop_high.jpg,originals\clothing\CLO_060.jpg,bad_crop,high
degraded\clothing\060_lowres_low.jpg,originals\clothing\CLO_060.jpg,lowres,low
degraded\clothing\060_lowres_medium.jpg,originals\clothing\CLO_060.jpg,lowres,medium
degraded\clothing\060_lowres_high.jpg,originals\clothing\CLO_060.jpg,lowres,high
degraded\clothing\060_jpeg_low.jpg,originals\clothing\CLO_060.jpg,jpeg,low
degraded\clothing\060_jpeg_medium.jpg,originals\clothing\CLO_060.jpg,jpeg,medium
degraded\clothing\060_jpeg_high.jpg,originals\clothing\CLO_060.jpg,jpeg,high
degraded\portable_electronics\061_blur_low.jpg,originals\portable_electronics\POR_001.jpg,blur,low
degraded\portable_electronics\061_blur_medium.jpg,originals\portable_electronics\POR_001.jpg,blur,medium
degraded\portable_electronics\061_blur_high.jpg,originals\portable_electronics\POR_001.jpg,blur,high
degraded\portable_electronics\061_underexposure_low.jpg,originals\portable_electronics\POR_001.jpg,underexposure,low
degraded\portable_electronics\061_underexposure_medium.jpg,originals\portable_electronics\POR_001.jpg,underexposure,medium
degraded\portable_electronics\061_underexposure_high.jpg,originals\portable_electronics\POR_001.jpg,underexposure,high
degraded\portable_electronics\061_overexposure_low.jpg,originals\portable_electronics\POR_001.jpg,overexposure,low
degraded\portable_electronics\061_overexposure_medium.jpg,originals\portable_electronics\POR_001.jpg,overexposure,medium
degraded\portable_electronics\061_overexposure_high.jpg,originals\portable_electronics\POR_001.jpg,overexposure,high
degraded\portable_electronics\061_bad_crop_low.jpg,originals\portable_electronics\POR_001.jpg,bad_crop,low
degraded\portable_electronics\061_bad_crop_medium.jpg,originals\portable_electronics\POR_001.jpg,bad_crop,medium
degraded\portable_electronics\061_bad_crop_high.jpg,originals\portable_electronics\POR_001.jpg,bad_crop,high
degraded\portable_electronics\061_lowres_low.jpg,originals\portable_electronics\POR_001.jpg,lowres,low
degraded\portable_electronics\061_lowres_medium.jpg,originals\portable_electronics\POR_001.jpg,lowres,medium
degraded\portable_electronics\061_lowres_high.jpg,originals\portable_electronics\POR_001.jpg,lowres,high
degraded\portable_electronics\061_jpeg_low.jpg,originals\portable_electronics\POR_001.jpg,jpeg,low
degraded\portable_electronics\061_jpeg_medium.jpg,originals\portable_electronics\POR_001.jpg,jpeg,medium
degraded\portable_electronics\061_jpeg_high.jpg,originals\portable_electronics\POR_001.jpg,jpeg,high
degraded\portable_electronics\062_blur_low.jpg,originals\portable_electronics\POR_002.jpg,blur,low
degraded\portable_electronics\062_blur_medium.jpg,originals\portable_electronics\POR_002.jpg,blur,medium
degraded\portable_electronics\062_blur_high.jpg,originals\portable_electronics\POR_002.jpg,blur,high
degraded\portable_electronics\062_underexposure_low.jpg,originals\portable_electronics\POR_002.jpg,underexposure,low
degraded\portable_electronics\062_underexposure_medium.jpg,originals\portable_electronics\POR_002.jpg,underexposure,medium
degraded\portable_electronics\062_underexposure_high.jpg,originals\portable_electronics\POR_002.jpg,underexposure,high
degraded\portable_electronics\062_overexposure_low.jpg,originals\portable_electronics\POR_002.jpg,overexposure,low
degraded\portable_electronics\062_overexposure_medium.jpg,originals\portable_electronics\POR_002.jpg,overexposure,medium
degraded\portable_electronics\062_overexposure_high.jpg,originals\portable_electronics\POR_002.jpg,overexposure,high
degraded\portable_electronics\062_bad_crop_low.jpg,originals\portable_electronics\POR_002.jpg,bad_crop,low
degraded\portable_electronics\062_bad_crop_medium.jpg,originals\portable_electronics\POR_002.jpg,bad_crop,medium
degraded\portable_electronics\062_bad_crop_high.jpg,originals\portable_electronics\POR_002.jpg,bad_crop,high
degraded\portable_electronics\062_lowres_low.jpg,originals\portable_electronics\POR_002.jpg,lowres,low
degraded\portable_electronics\062_lowres_medium.jpg,originals\portable_electronics\POR_002.jpg,lowres,medium
degraded\portable_electronics\062_lowres_high.jpg,originals\portable_electronics\POR_002.jpg,lowres,high
degraded\portable_electronics\062_jpeg_low.jpg,originals\portable_electronics\POR_002.jpg,jpeg,low
degraded\portable_electronics\062_jpeg_medium.jpg,originals\portable_electronics\POR_002.jpg,jpeg,medium
degraded\portable_electronics\062_jpeg_high.jpg,originals\portable_electronics\POR_002.jpg,jpeg,high
degraded\portable_electronics\063_blur_low.jpg,originals\portable_electronics\POR_003.jpg,blur,low
degraded\portable_electronics\063_blur_medium.jpg,originals\portable_electronics\POR_003.jpg,blur,medium
degraded\portable_electronics\063_blur_high.jpg,originals\portable_electronics\POR_003.jpg,blur,high
degraded\portable_electronics\063_underexposure_low.jpg,originals\portable_electronics\POR_003.jpg,underexposure,low
degraded\portable_electronics\063_underexposure_medium.jpg,originals\portable_electronics\POR_003.jpg,underexposure,medium
degraded\portable_electronics\063_underexposure_high.jpg,originals\portable_electronics\POR_003.jpg,underexposure,high
degraded\portable_electronics\063_overexposure_low.jpg,originals\portable_electronics\POR_003.jpg,overexposure,low
degraded\portable_electronics\063_overexposure_medium.jpg,originals\portable_electronics\POR_003.jpg,overexposure,medium
degraded\portable_electronics\063_overexposure_high.jpg,originals\portable_electronics\POR_003.jpg,overexposure,high
degraded\portable_electronics\063_bad_crop_low.jpg,originals\portable_electronics\POR_003.jpg,bad_crop,low
degraded\portable_electronics\063_bad_crop_medium.jpg,originals\portable_electronics\POR_003.jpg,bad_crop,medium
degraded\portable_electronics\063_bad_crop_high.jpg,originals\portable_electronics\POR_003.jpg,bad_crop,high
degraded\portable_electronics\063_lowres_low.jpg,originals\portable_electronics\POR_003.jpg,lowres,low
degraded\portable_electronics\063_lowres_medium.jpg,originals\portable_electronics\POR_003.jpg,lowres,medium
degraded\portable_electronics\063_lowres_high.jpg,originals\portable_electronics\POR_003.jpg,lowres,high
degraded\portable_electronics\063_jpeg_low.jpg,originals\portable_electronics\POR_003.jpg,jpeg,low
degraded\portable_electronics\063_jpeg_medium.jpg,originals\portable_electronics\POR_003.jpg,jpeg,medium
degraded\portable_electronics\063_jpeg_high.jpg,originals\portable_electronics\POR_003.jpg,jpeg,high
degraded\portable_electronics\064_blur_low.jpg,originals\portable_electronics\POR_004.jpg,blur,low
degraded\portable_electronics\064_blur_medium.jpg,originals\portable_electronics\POR_004.jpg,blur,medium
degraded\portable_electronics\064_blur_high.jpg,originals\portable_electronics\POR_004.jpg,blur,high
degraded\portable_electronics\064_underexposure_low.jpg,originals\portable_electronics\POR_004.jpg,underexposure,low
degraded\portable_electronics\064_underexposure_medium.jpg,originals\portable_electronics\POR_004.jpg,underexposure,medium
degraded\portable_electronics\064_underexposure_high.jpg,originals\portable_electronics\POR_004.jpg,underexposure,high
degraded\portable_electronics\064_overexposure_low.jpg,originals\portable_electronics\POR_004.jpg,overexposure,low
degraded\portable_electronics\064_overexposure_medium.jpg,originals\portable_electronics\POR_004.jpg,overexposure,medium
degraded\portable_electronics\064_overexposure_high.jpg,originals\portable_electronics\POR_004.jpg,overexposure,high
degraded\portable_electronics\064_bad_crop_low.jpg,originals\portable_electronics\POR_004.jpg,bad_crop,low
degraded\portable_electronics\064_bad_crop_medium.jpg,originals\portable_electronics\POR_004.jpg,bad_crop,medium
degraded\portable_electronics\064_bad_crop_high.jpg,originals\portable_electronics\POR_004.jpg,bad_crop,high
degraded\portable_electronics\064_lowres_low.jpg,originals\portable_electronics\POR_004.jpg,lowres,low
degraded\portable_electronics\064_lowres_medium.jpg,originals\portable_electronics\POR_004.jpg,lowres,medium
degraded\portable_electronics\064_lowres_high.jpg,originals\portable_electronics\POR_004.jpg,lowres,high
degraded\portable_electronics\064_jpeg_low.jpg,originals\portable_electronics\POR_004.jpg,jpeg,low
degraded\portable_electronics\064_jpeg_medium.jpg,originals\portable_electronics\POR_004.jpg,jpeg,medium
